Fecha;Grupo;Producto;Mercado;Precio promedio por kilogramo*;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Cali, Cavasa; 4.150 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Cali, Santa Elena; 4.606 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;La Unión (Nariño); 3.688 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Medellín, Central Mayorista de Antioquia; 4.931 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Pasto, El Potrerillo; 3.492 ;;
ene-23;VERDURAS Y HORTALIZAS;Arveja verde en vaina pastusa;Popayán, Plaza de mercado del barrio Bolívar; 4.403 ;;
ene-23;VERDURAS Y HORTALIZAS;Berenjena;Barranquilla, Barranquillita; 2.952 ;;
ene-23;VERDURAS Y HORTALIZAS;Berenjena;Bogotá, D.C., Corabastos; 3.216 ;;
ene-23;VERDURAS Y HORTALIZAS;Berenjena;Manizales, Centro Galerías; 3.000 ;;
ene-23;VERDURAS Y HORTALIZAS;Berenjena;Medellín, Central Mayorista de Antioquia; 2.975 ;;
ene-23;VERDURAS Y HORTALIZAS;Berenjena;Montería, Mercado del Sur; 1.877 ;;
ene-23;VERDURAS Y HORTALIZAS;Berenjena;Pereira, Mercasa; 2.969 ;;
ene-23;VERDURAS Y HORTALIZAS;Berenjena;Sincelejo, Nuevo Mercado; 2.278 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Armenia, Mercar; 2.083 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Barranquilla, Barranquillita; 8.000 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Barranquilla, Granabastos; 7.804 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Bogotá, D.C., Corabastos; 4.797 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Bucaramanga, Centroabastos; 5.786 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Cali, Santa Elena; 3.093 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Cartagena, Bazurto; 7.847 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Chiquinquirá (Boyacá); 2.083 ;;
ene-23;VERDURAS Y HORTALIZAS;Brócoli;Cúcuta, Cenabastos; 5.559 ;;
